quality score,phrase,manually check
0.973855,mems gyroscope,1
0.972886,ieee p1687,0
0.962288,infectious diseases,0
0.959164,pedestrian detection,1
0.956833,lr parsing,1
0.943606,simpósio brasileiro,0
0.94328,mismatch negativity,1
0.93729,adobe acrobat,1
0.936033,scalable powerparallel,1
0.93341,mobile banking,1
0.929485,mel cepstral,1
0.922302,parallel programs,1
0.92008,automotive telematics,1
0.907707,lukasiewicz moisil algebras,1
0.89504,mis quarterly,1
0.885912,sender initiated,1
0.8777,preconditioned iterative methods,1
0.875511,linear diophantine equations,1
0.875504,half perimeter wirelength,1
0.872249,lowpass filter,1
0.87122,quantum finite automata,1
0.863929,electricity price forecasting,1
0.862905,stack based,1
0.857497,db sndr,1
0.852419,robotic exploration,1
0.84949,statistical blockade,1
0.847743,motzkin paths,1
0.84741,phd filter,1
0.830294,interval routing,1
0.828698,structurational analysis,1
0.828306,fast hartley transform,1
0.80025,differential geometric,1
0.798219,office systems,1
0.783359,cdma packet radio,1
0.776437,korean texts,0
0.775639,subjective judgment,1
0.768941,à base de composants,1
0.767831,neural network model,1
0.755735,point based value iteration,1
0.747288,pbm estimator,1
0.745784,partial inductance,1
0.741568,semi transparent,1
0.736864,complexity metric,1
0.727382,density mixture,1
0.704679,idle resources,0
0.700931,relaxation technique,1
0.699296,wise independent,1
0.697901,orl face,1
0.692504,service guarantee,1
0.686153,transient current testing,1
0.679302,hierarchical key management scheme,1
0.673504,log tape,1
0.670918,weighted sobolev,1
0.667016,globally smooth,1
0.665498,five fingered,1
0.654728,depth coding,1
0.651916,production activities,0
0.651607,estimation scheme,1
0.649507,visual pathways,1
0.630794,cut elimination procedure,1
0.624822,polynomial mappings,1
0.623384,reducing false,1
0.62298,cholesky algorithm,1
0.620705,multiple round,0
0.62032,network communication,1
0.618228,classroom setting,0
0.61701,mac addresses,0
0.615272,distributed relay selection,1
0.613285,setting parameters,1
0.612801,emotion based music,0
0.61223,enormous progress,0
0.611854,large terrains,0
0.607738,family relationships,1
0.594177,network resource management,1
0.583365,touch screen technology,1
0.583048,fractional power polynomial models,1
0.580325,delay spikes,1
0.574579,secondary storage device,1
0.573737,single index models,1
0.568398,linux environment,1
0.565693,participant interaction,1
0.56316,subject reduction property,1
0.558862,item constraints,1
0.55357,auditory map,1
0.55142,synthetic trace,1
0.551258,electronic tags,1
0.549637,euclidean distance matrix,1
0.542787,representative feature,1
0.54115,longest matching,1
0.540975,nonlinear fractional differential equations,1
0.533767,component based and service oriented,1
0.529581,received much less attention,1
0.529268,variation effects,1
0.525274,compatibility function,1
0.52069,two layered,1
0.516283,dynamic channel selection,1
0.516202,forcing designers,1
0.513789,positive edge weights,1
0.51166,distributed knowledge discovery,1
0.51023,non additive measure,1
